sample, total, mapped
WATDE0433, 1218860082, 1216898990
WATDE0449, 1198180310, 1196231097
WATDE0479, 1147212499, 1144726423
WATDE0454, 1242817729, 1240703623
WATDE0457, 1128575992, 1127011205
WATDE0512, 1192871002, 1190923893
WATDE0481, 1209762666, 1207540732
WATDE0444, 1478252783, 1475336125
WATDE0540, 1150334359, 1147952512
WATDE0450, 1196427666, 1194182814
WATDE0531, 1213739853, 1211019853
Tanker, 1973370482, 1968231368
WATDE0503, 1160659596, 1158842580
WATDE0539, 1164341442, 1162036689
WATDE0518, 1164398179, 1162669245
WATDE0399, 1605811057, 1603166317
WATDE0407, 1630106716, 1626929149
WATDE0577, 1251806664, 1250026717
WATDE0596, 1154060148, 1152361866
WATDE0488, 1152298288, 1150075611
WATDE0443, 1253096845, 1250980933
WATDE0490, 1257395445, 1254681916
WATDE0549, 1245327193, 1243396247
WATDE0515, 1148915567, 1146546042
WATDE0446, 1421898555, 1418413823
WATDE0529, 1320943147, 1317657224
WATDE0507, 1165612993, 1163789146
WATDE0553, 1170660771, 1168732270
WATDE0537, 1183297192, 1181331247
WATDE0487, 1275409869, 1273285612
WATDE0460, 1469050828, 1466630769
WATDE0601, 1164828750, 1163250094
WATDE0511, 1250805975, 1248574039
WATDE0547, 1152226560, 1150237496
WATDE0541, 1153933889, 1151557480
WATDE0561, 1223229412, 1221228790
WATDE0492, 1170150674, 1168068745
WATDE0484, 1199833764, 1197664765
WATDE0627, 1196128591, 1193844086
WATDE0581, 1139653773, 1137846538
WATDE0538, 1481601270, 1479212449
WATDE0558, 1144660230, 1142786547
WATDE0462, 1560392721, 1557841567
WATDE0524, 1156158336, 1154006949
WATDE0494, 1399266152, 1396776945
WATDE0477, 1260313131, 1257854200
WATDE0463, 1528274626, 1522792810
WATDE0597, 1195086174, 1192843299
WATDE0546, 1162138460, 1159289311
WATDE0467, 1383565739, 1381149077
WATDE0556, 1243340166, 1241303880
WATDE0567, 1549205864, 1546225530
WATDE0543, 1405488637, 1402049409
WATDE0669, 1141324995, 1139553415
WATDE0569, 1173399701, 1171259645
WATDE0609, 1170125126, 1168323811
WATDE0586, 1273346766, 1270959343
WATDE0469, 1506827449, 1503887658
WATDE0509, 1297487274, 1295113099
WATDE0505, 1255043602, 1253374006
WATDE0674, 1258037721, 1255457340
WATDE0566, 1231475504, 1229373195
WATDE0568, 1306604692, 1303910881
WATDE0489, 1262335497, 1260041482
WATDE0522, 1360829296, 1358471516
WATDE0618, 1191449991, 1188656848
WATDE0519, 1133228820, 1131171821
WATDE0516, 1333839804, 1331559642
WATDE0533, 1384448389, 1381510203
WATDE0585, 1383707899, 1381561876
WATDE0599, 1380961875, 1378375134
WATDE0653, 1137844662, 1135787954
WATDE0501, 1480585764, 1478634823
WATDE0555, 1513822233, 1511427712
Prophet, 3256448547, 3252887652
WATDE0579, 1330303815, 1328166444
WATDE0536, 1513754148, 1511086217
WATDE0544, 1369947802, 1366724789
WATDE0608, 1163962119, 1160908258
WATDE0572, 1190680961, 1188385337
WATDE0640, 1189687392, 1187296224
WATDE0562, 1577217275, 1573732530
WATDE0557, 1317487114, 1315294169
Vocal, 2089022238, 2081893770
WATDE0603, 1577929518, 1574803265
WATDE0675, 1152363992, 1150639234
Sportsman, 2311678584, 2309771208
WATDE0615, 1284190472, 1281074178
WATDE0542, 1206326530, 1203221271
WATDE0693, 1253772627, 1251734280
WATDE0672, 1250819301, 1248526563
WATDE0563, 1178994493, 1176328858
WATDE0604, 1139351171, 1137705263
WATDE0550, 1651687148, 1649063440
WATDE0504, 1508261165, 1505517269
WATDE0616, 1217477094, 1215549637
WATDE0617, 1188809985, 1187103911
WATDE0510, 1556287504, 1553409908
WATDE0614, 1185127507, 1182679657
WATDE0620, 1220845279, 1218779027
WATDE0652, 1155993700, 1153039040
